原文,推荐译文,说明
八ヶ崎翠,八崎翠,性别: 男性; 备注: 主人公，从日本转生到异世界的青年
シャリヤ,夏莉雅,性别: 女性; 备注: 银发碧眼的少女，最先遇到翠的异世界人，全名阿莱斯·夏莉雅
アレス,阿莱斯,分类: 人名; 备注: 夏莉雅的姓氏
エレーナ,埃琳娜,性别: 女性; 备注: 黑发黑眼的少女，夏莉雅的朋友，全名苏卡丝那·哈尔特谢阿菲斯·埃琳娜
スカースナ,苏卡丝那,分类: 人名; 备注: 埃琳娜的名字
ハルトシェアフィス,哈尔特谢阿菲斯,分类: 人名; 备注: 埃琳娜的中间名（父称或母称）
レシェール,雷歇尔,性别: 男性; 备注: 民兵组织的领导者，可靠的大叔
ヒンゲンファール,赫根法尔,性别: 女性; 备注: 雷托拉图书馆的管理员，全名赫根法尔·巴拉·丽莎，自称赫芭莉
ヒンヴァリー,赫芭莉,性别: 女性; 备注: 赫根法尔的简称或爱称
フィシャ,费希尔,性别: 女性; 备注: 即费希尔·蕾优阿芙，政府军间谍，曾对翠抱有期待，在政府军前线指挥所自爆身亡
フェリーサ,菲丽莎,性别: 女性; 备注: 单马尾少女，不擅长利内帕涅语，全名菲丽莎·阿塔姆
アタム,阿塔姆,分类: 人名; 备注: 菲丽莎的姓氏
浅上慧,浅上慧,性别: 男性; 备注: 翠的前辈，被称为“印度前辈”，语言爱好者
インド先輩,印度前辈,性别: 男性; 备注: 对浅上慧的昵称
ジュリザード,久利扎德,分类: 职务; 备注: 审判中负责公诉的职位（类似检察官）
レトラ,雷托拉,分类: 地名; 备注: 翠和夏莉雅等人逃难到达的城市，被高耸的街垒包围
フィアンシャ,费昂夏,分类: 地名; 备注: 宗教设施，利帕拉欧内教的礼拜场所
フラースカ,弗拉斯卡,分类: 地名; 备注: 审判或评议的场所
クランティルヴィル,库朗提尔比尔,分类: 地名; 备注: 雷托拉的图书馆
フェンテショレー,芬特肖雷,分类: 组织; 备注: 敌对势力，与雷歇尔等人交战的一方，使用鸟纹章
リネパーイネ語,利内帕涅语,分类: 语言; 备注: 异世界中广泛使用的语言，夏莉雅等人的母语
リパーシェ文字,利帕谢文字,分类: 文字; 备注: 用于书写利内帕涅语的文字系统
リパラオネ,利帕拉欧内,分类: 宗教; 备注: 夏莉雅信仰的宗教，全称利帕拉欧内教
アレフィス,阿雷菲斯,分类: 神祇; 备注: 利帕拉欧内教所信仰的神明
スキュリオーティエ,斯克利欧提,分类: 宗教; 备注: 可能与利帕拉欧内教相关，其教典称为《贤杜祖安》
シェンドゥズィーア,贤杜祖安,分类: 典籍; 备注: 斯克利欧提的教典，类似《古兰经》的地位
エウスティーア,艾乌斯提亚,分类: 语法术语; 备注: 表示复数形式
ラネメ,拉内美,分类: 民族; 备注: 异世界中的一个民族，埃琳娜可能具有该民族血统
トニー,托尼,分类: 神祇; 备注: 意为“神”，阿雷菲斯被称为托尼的名字
ユエスデーア,尤艾斯迪亚,分类: 组织; 备注: 与芬特肖雷对立的势力之一，使用青色旗帜
シューエス,修艾斯,分类: 组织; 备注: 与芬特肖雷对立的势力之一，使用黄色旗帜
セーケ,瑟可,分类: 游戏; 备注: 一种类似将棋的棋盘游戏，使用木制棋子和网格棋盘
クンロアネール,昆洛阿内尔,分类: 物品; 备注: 食物的意思，也特指汤类
クンロアノ,昆洛阿诺,分类: 概念; 备注: 吃东西这一行为的名词形式
ターフ・ヴィール・イェスカ,塔尔芙·维尔·耶斯卡,性别: 女性; 备注: 革命军领袖，共产党党首，被称为“同志”，手段强硬，最后自杀身亡
ターフ・ヴィール・ユミリア,塔尔芙·维尔·尤米莉亚,性别: 女性; 备注: 耶斯卡的妹妹，共产党No.2，在耶斯卡死后出现调查其死因
スクーラヴェニヤ・ミュロニユ,斯库拉维尼亚·缪洛纽,性别: 男性; 备注: 革命军的征兵官，负责递送召集令状
ケイ,凯,性别: 男性; 备注: 将幼年费希尔带入政府军的人物
八ヶ崎翔太,八崎翔太,性别: 男性; 备注: 耶斯卡死前提及的神秘人物，与翠同姓，身份不明
カヴィーナ,卡维纳,分类: 地名; 备注: 尤艾斯雷欧涅人民解放战线本部所在地
ユエスレオネ,尤艾斯雷欧涅,分类: 地名; 备注: 故事发生的主要国家，革命军与政府军争夺的地区
ファールリューディア,法尔留迪亚,分类: 地名; 备注: 尤艾斯雷欧涅革命军的前哨地
トレディーナ,特雷迪纳,分类: 地名; 备注: 尤艾斯雷欧涅共産党本部所在地
ユエスレオネ共産党,尤艾斯雷欧涅共产党,分类: 组织; 备注: 耶斯卡领导的革命政党，这个词是该政党的意译名称
アドコンステールツェン・レータザル,阿德康斯提尔岑·雷塔扎尔,分类: 组织; 备注: 尤艾斯雷欧涅共产党在利内帕涅语中的正式名称
ユエスレオネ人民解放戦線,尤艾斯雷欧涅人民解放战线,分类: 组织; 备注: 革命派武装势力的名称
督戦隊,督战队,分类: 组织; 备注: 由政府军凯特尼亚组成的督战部队，使用维尔福普操控士兵
ケートニアー,凯特尼亚,分类: 种族/概念; 备注: 拥有特殊体质（凯特尼亚状态）的人，可作为伊尔德抵抗精神操控，身体恢复力强
ネートニアー,内特尼亚,分类: 种族/概念; 备注: 无特殊体质的普通人，与凯特尼亚相对
ウェールフープ,维尔福普,分类: 概念; 备注: 精神操控能力；一种能实现各种超自然现象的异能
イールド,伊尔德,分类: 概念; 备注: 抵抗精神操控（维尔福普）的体质
可能化剤,潜能活化剂,分类: 物品; 备注: 用于改造人体获得凯特尼亚能力的药物，有严重副作用
テクタニアー計画,特克塔尼亚计划,分类: 事件; 备注: 政府军制造凯特尼亚士兵的人体实验计划
フェンテルヴェンス,芬特尔芬斯,分类: 物品; 备注: 一种可遮断维尔福普效力的气化型伊尔德
リウスニータ,琉斯尼塔,分类: 物品; 备注: 异世界的饮品，拉内美风味或利帕拉欧内风味
バネアート,巴涅阿特,分类: 物品; 备注: 一种类似馅料的甜食
バネクリャナショ,巴涅克里亚纳肖,分类: 物品; 备注: 一种类似羊羹的甜食
コーニュス,科纽斯,分类: 物品; 备注: 耶斯卡食用的板状物，可能是烟或药物
マニソマ,玛尼索玛,分类: 游戏; 备注: 一种卡牌游戏
ヨーウプレーネー・ヴァスペールクーフェーレス,尤普雷内·瓦斯佩尔库费雷斯,分类: 典籍; 备注: 一本演说集的书名
PCF-99 シェルトアンギル,PCF-99 谢尔特安吉尔,分类: 物品; 备注: 步兵小铳
LPF-82 アルザッツァ,LPF-82 阿尔扎察,分类: 物品; 备注: 轻机关铳
PCF99-02 ZYS カヴィーナ,PCF99-02 ZYS 卡维纳,分类: 物品; 备注: PCF-99的改良型自动小铳，耶斯卡的爱枪
リス主義者,Ri主义者,分类: 身份; 备注: 埃斯佩朗托语中提倡使用无性别代词“Ri”的人
燐字理文,磷字理文,分类: 文字; 备注: 汉字式的表语文字
タカン語,塔坎语,分类: 语言; 备注: 异世界的一种语言
アイル語,艾尔语,分类: 语言; 备注: 异世界的一种语言
タミル語,泰米尔语,分类: 语言; 备注: 地球上的语言，耶斯卡的遗书中出现了其文字
